iteration,particle,fitness_rmse,from_cache,hidden_dim,num_layers,dropout,lr,batch_size
1,0,1.7119954824447632,False,192,3,0.3,0.001,128
1,1,1.628073811531067,False,128,3,0.3,0.001,32
1,2,1.475619912147522,False,192,1,0.2,0.001,64
1,3,1.5171620845794678,False,192,2,0.1,0.0003,32
1,4,1.754158854484558,False,64,2,0.2,0.003,32
1,5,1.6402432918548584,False,256,3,0.0,0.003,64
2,0,1.6762911081314087,False,192,2,0.2,0.001,64
2,1,1.5537128448486328,False,256,2,0.3,0.001,64
2,2,1.475619912147522,True,192,1,0.2,0.001,64
2,3,1.5056959390640259,False,192,1,0.1,0.0003,64
2,4,1.5869717597961426,False,128,2,0.2,0.001,64
2,5,1.5522208213806152,False,256,1,0.1,0.001,64
3,0,1.7548798322677612,False,192,2,0.2,0.001,32
3,1,1.5181249380111694,False,256,1,0.2,0.001,64
3,2,1.475619912147522,True,192,1,0.2,0.001,64
3,3,1.5200079679489136,False,256,1,0.2,0.0005,64
3,4,1.5299957990646362,False,192,1,0.1,0.0005,128
3,5,1.5328528881072998,False,256,1,0.3,0.001,64
4,0,1.6762911081314087,True,192,2,0.2,0.001,64
4,1,1.580281138420105,False,256,1,0.1,0.003,64
4,2,1.475619912147522,True,192,1,0.2,0.001,64
4,3,1.475619912147522,True,192,1,0.2,0.001,64
4,4,1.533921718597412,False,256,1,0.2,0.0005,128
4,5,1.5025715827941895,False,192,1,0.3,0.001,64
5,0,1.6762911081314087,True,192,2,0.2,0.001,64
5,1,1.5181249380111694,True,256,1,0.2,0.001,64
5,2,1.475619912147522,True,192,1,0.2,0.001,64
5,3,1.5777034759521484,False,192,1,0.2,0.003,64
5,4,1.5018216371536255,False,192,1,0.2,0.0005,64
5,5,1.475619912147522,True,192,1,0.2,0.001,64
6,0,1.6762911081314087,True,192,2,0.2,0.001,64
6,1,1.475619912147522,True,192,1,0.2,0.001,64
6,2,1.475619912147522,True,192,1,0.2,0.001,64
6,3,1.475619912147522,True,192,1,0.2,0.001,64
6,4,1.475619912147522,True,192,1,0.2,0.001,64
6,5,1.475619912147522,True,192,1,0.2,0.001,64
