iteration,particle,fitness_rmse,from_cache,hidden_dim,num_layers,dropout,lr,batch_size,lambda_phy
1,0,1.7472671270370483,False,192,3,0.3,0.001,128,0.05
1,1,1.7230792045593262,False,128,3,0.3,0.001,32,0.1
1,2,1.4765052795410156,False,192,1,0.2,0.001,64,0.02
1,3,1.514373540878296,False,192,2,0.1,0.0003,32,0.02
1,4,1.7231749296188354,False,64,2,0.2,0.003,32,0.02
1,5,1.6265482902526855,False,256,3,0.0,0.003,64,0.02
2,0,1.6982648372650146,False,192,2,0.2,0.001,64,0.05
2,1,1.476233959197998,False,256,1,0.2,0.001,64,0.1
2,2,1.4765052795410156,True,192,1,0.2,0.001,64,0.02
2,3,1.5249719619750977,False,192,1,0.2,0.0005,64,0.02
2,4,1.462896466255188,False,96,1,0.2,0.001,64,0.02
2,5,1.5048633813858032,False,256,1,0.2,0.001,64,0.02
3,0,1.5184205770492554,False,192,1,0.1,0.001,64,0.02
3,1,1.5010544061660767,False,256,1,0.1,0.003,64,0.01
3,2,1.4842987060546875,False,96,1,0.2,0.001,32,0.02
3,3,1.462896466255188,True,96,1,0.2,0.001,64,0.02
3,4,1.524330735206604,False,128,1,0.2,0.001,64,0.02
3,5,1.5226165056228638,False,192,1,0.3,0.001,32,0.02
4,0,1.4938048124313354,False,128,1,0.2,0.001,32,0.01
4,1,1.539502739906311,False,192,1,0.2,0.003,64,0.05
4,2,1.50345778465271,False,64,1,0.2,0.001,32,0.02
4,3,1.4931827783584595,False,64,1,0.2,0.003,64,0.02
4,4,1.462896466255188,True,96,1,0.2,0.001,64,0.02
4,5,1.5372730493545532,False,128,1,0.3,0.001,64,0.02
5,0,1.5201729536056519,False,96,1,0.2,0.003,32,0.01
5,1,1.578811526298523,False,192,1,0.2,0.001,64,0.05
5,2,1.4842987060546875,True,96,1,0.2,0.001,32,0.02
5,3,1.6371885538101196,False,96,1,0.2,0.003,32,0.02
5,4,1.6371885538101196,True,96,1,0.2,0.003,32,0.02
5,5,1.5284640789031982,False,96,1,0.1,0.001,64,0.02
6,0,1.541544795036316,False,128,1,0.2,0.001,32,0.02
6,1,1.5048766136169434,False,96,1,0.2,0.001,64,0.05
6,2,1.5048633813858032,True,256,1,0.2,0.001,64,0.02
6,3,1.462896466255188,True,96,1,0.2,0.001,64,0.02
6,4,1.462896466255188,True,96,1,0.2,0.001,64,0.02
6,5,1.524330735206604,True,128,1,0.2,0.001,64,0.02
