iteration,particle,fitness_ade_fde,from_cache,hidden_dim,dropout,lr,batch_size,alpha_cur,alpha_bias,alpha_pi,beta_smooth
1,0,14.244064807891846,False,128,0.2,0.0005,64,0.2,0.1,0.02,0.005
1,1,13.862420558929443,False,96,0.2,0.001,128,0.1,0.2,0.05,0.005
1,2,13.994332313537598,False,192,0.2,0.0005,64,0.2,0.1,0.01,0.005
1,3,14.133028984069824,False,128,0.0,0.001,128,0.2,0.1,0.01,0.005
1,4,14.219803810119629,False,64,0.1,0.0005,128,0.2,0.2,0.01,0.01
2,0,13.855244636535645,False,96,0.2,0.0005,64,0.1,0.2,0.05,0.005
2,1,13.862420558929443,True,96,0.2,0.001,128,0.1,0.2,0.05,0.005
2,2,13.792715549468994,False,96,0.2,0.001,64,0.2,0.1,0.05,0.005
2,3,13.59114408493042,False,128,0.0,0.001,64,0.05,0.2,0.02,0.005
2,4,13.923824787139893,False,96,0.1,0.0005,128,0.1,0.2,0.02,0.005
3,0,14.38623571395874,False,96,0.1,0.0005,128,0.05,0.2,0.02,0.005
3,1,13.957849979400635,False,128,0.1,0.001,64,0.1,0.2,0.02,0.005
3,2,13.497693061828613,False,96,0.0,0.001,64,0.1,0.2,0.05,0.005
3,3,13.680150032043457,False,96,0.0,0.001,64,0.05,0.2,0.02,0.005
3,4,13.879089832305908,False,96,0.1,0.0005,64,0.05,0.2,0.05,0.005
4,0,13.654442310333252,False,96,0.1,0.001,64,0.05,0.2,0.02,0.005
4,1,13.513871192932129,False,96,0.0,0.001,64,0.1,0.2,0.02,0.005
4,2,13.430447578430176,False,64,0.0,0.001,64,0.05,0.2,0.05,0.005
4,3,13.680150032043457,True,96,0.0,0.001,64,0.05,0.2,0.02,0.005
4,4,13.724584102630615,False,96,0.0,0.001,64,0.05,0.2,0.05,0.005
5,0,13.661783218383789,False,96,0.1,0.001,64,0.05,0.1,0.05,0.005
5,1,13.697094440460205,False,64,0.0,0.001,64,0.1,0.2,0.05,0.005
5,2,13.50458288192749,False,64,0.0,0.001,64,0.05,0.2,0.02,0.005
5,3,13.724584102630615,True,96,0.0,0.001,64,0.05,0.2,0.05,0.005
5,4,13.724584102630615,True,96,0.0,0.001,64,0.05,0.2,0.05,0.005
