iteration,particle,fitness_ade_fde,from_cache,hidden_dim,num_layers,dropout,lr,batch_size
1,0,14.872979164123535,False,192,3,0.1,0.0003,128
1,1,14.929899215698242,False,128,3,0.4,0.0005,64
1,2,14.626845836639404,False,192,3,0.3,0.0001,128
1,3,14.0767240524292,False,192,1,0.3,0.001,128
1,4,14.020054817199707,False,64,2,0.2,0.001,128
2,0,14.168487548828125,False,64,1,0.2,0.0005,128
2,1,14.494996547698975,False,96,2,0.2,0.0005,128
2,2,15.134352207183838,False,192,3,0.2,0.001,128
2,3,14.455854892730713,False,64,2,0.2,0.0005,128
2,4,14.020054817199707,True,64,2,0.2,0.001,128
3,0,14.476040840148926,False,64,1,0.2,0.001,128
3,1,14.275282859802246,False,64,1,0.0,0.001,128
3,2,14.46367073059082,False,64,2,0.1,0.003,128
3,3,13.822787284851074,False,96,2,0.1,0.0005,128
3,4,14.020054817199707,True,64,2,0.2,0.001,128
4,0,14.020054817199707,True,64,2,0.2,0.001,128
4,1,14.081676006317139,False,64,1,0.1,0.0005,128
4,2,13.806151866912842,False,64,1,0.1,0.001,128
4,3,14.961509227752686,False,128,2,0.1,0.0005,128
4,4,14.494996547698975,True,96,2,0.2,0.0005,128
5,0,13.789608478546143,False,64,2,0.1,0.001,128
5,1,13.806151866912842,True,64,1,0.1,0.001,128
5,2,13.806151866912842,True,64,1,0.1,0.001,128
5,3,13.806151866912842,True,64,1,0.1,0.001,128
5,4,13.963134765625,False,64,1,0.1,0.003,128
